Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD_TDB	AIRMASS	WMSHUMID	CCDATEMP	 CCD-TEMP	EXPTIME	RA	DEC	AIR	DQUALITY	FOCPOSN	MOONFRAC	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_T2	rel_flux_T3	rel_flux_T4	rel_flux_T5	rel_flux_C6	rel_flux_C7	rel_flux_C8	rel_flux_T9	rel_flux_err_T1	rel_flux_err_T2	rel_flux_err_T3	rel_flux_err_T4	rel_flux_err_T5	rel_flux_err_C6	rel_flux_err_C7	rel_flux_err_C8	rel_flux_err_T9	rel_flux_SNR_T1	rel_flux_SNR_T2	rel_flux_SNR_T3	rel_flux_SNR_T4	rel_flux_SNR_T5	rel_flux_SNR_C6	rel_flux_SNR_C7	rel_flux_SNR_C8	rel_flux_SNR_T9	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_T2	Y(IJ)_T2	X(FITS)_T2	Y(FITS)_T2	RA_T2	DEC_T2	Source-Sky_T2	Source_Error_T2	Source_SNR_T2	Peak_T2	Mean_T2	Sky/Pixel_T2	FWHM_T2	Width_T2	X-Width_T2	Y-Width_T2	Angle_T2	Roundness_T2	X(IJ)_T3	Y(IJ)_T3	X(FITS)_T3	Y(FITS)_T3	RA_T3	DEC_T3	Source-Sky_T3	Source_Error_T3	Source_SNR_T3	Peak_T3	Mean_T3	Sky/Pixel_T3	FWHM_T3	Width_T3	X-Width_T3	Y-Width_T3	Angle_T3	Roundness_T3	X(IJ)_T4	Y(IJ)_T4	X(FITS)_T4	Y(FITS)_T4	RA_T4	DEC_T4	Source-Sky_T4	Source_Error_T4	Source_SNR_T4	Peak_T4	Mean_T4	Sky/Pixel_T4	FWHM_T4	Width_T4	X-Width_T4	Y-Width_T4	Angle_T4	Roundness_T4	X(IJ)_T5	Y(IJ)_T5	X(FITS)_T5	Y(FITS)_T5	RA_T5	DEC_T5	Source-Sky_T5	Source_Error_T5	Source_SNR_T5	Peak_T5	Mean_T5	Sky/Pixel_T5	FWHM_T5	Width_T5	X-Width_T5	Y-Width_T5	Angle_T5	Roundness_T5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	RA_C7	DEC_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	X(IJ)_C8	Y(IJ)_C8	X(FITS)_C8	Y(FITS)_C8	RA_C8	DEC_C8	Source-Sky_C8	Source_Error_C8	Source_SNR_C8	Peak_C8	Mean_C8	Sky/Pixel_C8	FWHM_C8	Width_C8	X-Width_C8	Y-Width_C8	Angle_C8	Roundness_C8	X(IJ)_T9	Y(IJ)_T9	X(FITS)_T9	Y(FITS)_T9	RA_T9	DEC_T9	Source-Sky_T9	Source_Error_T9	Source_SNR_T9	Peak_T9	Mean_T9	Sky/Pixel_T9	FWHM_T9	Width_T9	X-Width_T9	Y-Width_T9	Angle_T9	Roundness_T9	rel_flux_T1_n	rel_flux_err_T1_n
ogg2m001-ep02-20210522-0166-e91.fits	11	0	59357.972631	2459357.972631	2459357.977000	1.030006	43.500000	-55	NaN	180	16.352152	31.579187	NaN	NaN	1.998924	0.866140	9.441701	15	30	45	0.264084	3.051921	1.591483	4.228923	3.007460	0.714431	0.292122	0.555704	0.293260	0.000444	0.002378	0.001332	0.003227	0.002346	0.001033	0.000555	0.000834	0.000461	594.530041	1283.648927	1194.667906	1310.483980	1282.152909	691.370362	526.726752	665.979744	636.043167	4747545.574368	3444.738064	1049.554275	1048.613041	1050.054275	999.886959	16.352005	31.577356	1253749.438984	706.858347	1902.502731	659.000073	24427.615234	1773.692628	2571.200673	2977	7.855955	9.037399	8.832319	9.242478	64.036727	0.994589	1902.732612	906.183279	1903.232612	1142.316721	16.347052	31.587650	14489133.407948	4108.784594	3526.379414	123375.429688	20497.930693	2603.115787	11.601479	10.394206	9.765922	11.022490	74.518919	0.980269	1995.415874	1228.318221	1995.915874	820.181779	16.346523	31.563742	7555639.014602	3153.396688	2396.031886	110553.765625	10689.042643	2584.551636	9.111305	9.599169	9.194154	10.004184	65.679261	0.983749	110.271653	1361.853589	110.771653	686.646411	16.357458	31.554377	20077003.513220	4743.261429	4232.742347	124554.804688	28403.149792	2628.762929	12.640370	11.969529	9.127639	14.811420	87.003790	0.795710	202.131416	1975.626682	202.631416	72.873318	16.356937	31.508861	14278055.200792	4084.446206	3495.713857	124396.132812	20199.316115	2613.767960	11.303435	10.276433	9.167388	11.385479	81.494869	0.950218	1416.690424	1505.194896	1417.190424	543.305104	16.349886	31.543405	1978378.858835	2086.645137	948.114667	33692.859375	2798.833553	2576.981909	8.392532	9.319356	9.058541	9.580170	60.123477	0.987672	1702.353311	180.680466	1702.853311	1867.819534	16.348196	31.641492	1073322.818926	1852.735004	579.318044	19802.791016	1518.441175	2577.902748	8.466731	9.255177	9.004334	9.506019	66.570541	0.993725	305.641642	98.017457	306.141642	1950.482543	16.356302	31.648011	1695843.896606	2019.778553	839.618726	41551.746094	2399.128345	2577.514847	6.443644	8.525501	8.422753	8.628249	87.283064	0.999414	1794.592834	1674.087300	1795.092834	374.412700	16.347699	31.530767	1392267.077960	1941.903743	716.959882	22215.689453	1969.655001	2575.046102	9.159855	9.635071	9.276416	9.993727	62.409370	0.983047	0.997389	0.001678
ogg2m001-ep02-20210522-0167-e91.fits	12	0	59357.974763	2459357.974763	2459357.979132	1.031993	44.000000	-55	NaN	180	16.352153	31.579157	NaN	NaN	1.998924	0.866272	9.143262	15	30	45	0.264255	3.070258	1.593974	4.262945	3.044097	0.712663	0.294126	0.554263	0.293105	0.000444	0.002395	0.001336	0.003257	0.002376	0.001033	0.000558	0.000833	0.000461	594.523401	1281.921825	1192.875556	1308.694417	1281.072845	689.687275	527.006008	665.235965	635.806234	4731929.845652	3439.693848	1049.714971	1048.203410	1050.214971	1000.296590	16.352004	31.577356	1250437.745678	706.858347	1896.708246	659.267311	25409.119141	1769.007540	2550.732869	3017	7.277237	9.146687	8.928426	9.364948	67.577025	0.995474	1902.923889	905.825613	1903.423889	1142.674387	16.347052	31.587645	14528247.565559	4112.358288	3532.826312	123375.046875	20553.265907	2583.185430	11.438131	10.523178	9.911119	11.135237	76.041952	0.982786	1995.614471	1227.895268	1996.114471	820.604732	16.346523	31.563742	7542573.872046	3149.547420	2394.811973	110146.007812	10670.559248	2564.643309	8.738682	9.722658	9.333345	10.111971	66.441843	0.986195	110.366614	1361.515635	110.866614	686.984365	16.357458	31.554375	20171957.272250	4751.326883	4245.541881	124555.218750	28537.481882	2611.707745	12.506273	12.041435	9.284053	14.798816	87.728813	0.809437	202.276642	1975.222647	202.776642	73.277353	16.356937	31.508866	14404453.778574	4097.794657	3515.172180	124395.843750	20378.133524	2593.892709	11.347279	10.401614	9.308932	11.494296	84.240669	0.955024	1416.873146	1504.775419	1417.373146	543.724581	16.349886	31.543407	1969021.393342	2086.137128	943.860002	33825.441406	2785.595447	2559.778408	8.090182	9.398770	9.117484	9.680056	64.037277	0.990596	1702.490929	180.253408	1702.990929	1868.246592	16.348196	31.641488	1075462.973072	1854.286935	579.987354	19944.736328	1521.468874	2556.278565	7.992469	9.471305	9.229422	9.713187	70.647111	0.995722	305.786103	97.607197	306.286103	1950.892803	16.356301	31.648007	1687445.479239	2010.260085	839.416497	41835.953125	2387.247015	2558.519759	6.160069	8.674279	8.551467	8.797090	277.974707	0.999133	1794.786276	1673.708274	1795.286276	374.791726	16.347699	31.530767	1386951.898012	1934.446997	716.975911	22485.250000	1962.135559	2554.944136	8.739038	9.688306	9.314795	10.061816	64.037266	0.984413	0.998037	0.001679
ogg2m001-ep02-20210522-0170-e91.fits	15	0	59357.981161	2459357.981161	2459357.985529	1.038921	44.200000	-55	NaN	180	16.352152	31.579164	NaN	NaN	1.998924	0.866683	9.611811	15	30	45	0.265363	3.107805	1.592240	4.265347	3.065699	0.712236	0.292951	0.556314	0.293219	0.000444	0.002413	0.001330	0.003246	0.002383	0.001028	0.000555	0.000833	0.000460	597.054186	1287.989353	1197.164878	1313.872062	1286.583486	692.883363	528.253917	668.190083	637.692078	4729294.994822	3422.969589	1049.491401	1048.259679	1049.991401	1000.240321	16.352005	31.577359	1254981.729515	706.858347	1895.561894	662.063177	23112.156250	1775.435962	2527.824537	3022	8.093720	9.334725	9.349674	9.319776	42.334216	0.998812	1902.620264	905.946328	1903.120264	1142.553672	16.347053	31.587647	14697725.607053	4129.653936	3559.069558	123375.976562	20793.028290	2561.857896	11.435054	10.506451	10.182281	10.830620	72.129543	0.994231	1995.328655	1228.045897	1995.828655	820.454103	16.346524	31.563741	7530173.035862	3139.999746	2398.144473	103771.031250	10653.015653	2544.849274	9.428717	9.846586	9.643509	10.049663	60.732880	0.993761	110.153460	1361.525261	110.653460	686.974739	16.357459	31.554376	20172085.603919	4749.207023	4247.463946	124555.242188	28537.663434	2587.949239	12.625528	11.805629	9.546744	14.064514	88.090518	0.863111	202.077330	1975.277310	202.577330	73.222690	16.356937	31.508862	14498597.036938	4107.571550	3529.724768	124396.046875	20511.318990	2571.220527	11.511702	10.331736	9.563124	11.100347	83.209447	0.976828	1416.649857	1504.873775	1417.149857	543.626225	16.349886	31.543407	1967236.754897	2073.018970	948.971902	31581.105469	2783.070700	2535.766579	8.755835	9.559966	9.469596	9.650337	53.792787	0.996085	1702.241269	180.393964	1702.741269	1868.106036	16.348197	31.641491	1071542.220756	1844.178468	581.040414	18637.699219	1515.922144	2536.240594	8.655571	9.563508	9.561729	9.565286	45.389040	0.999250	305.528316	97.683204	306.028316	1950.816796	16.356303	31.648010	1690516.019169	2004.574503	843.329104	37960.394531	2391.590941	2534.180666	6.582223	8.804590	8.868301	8.740879	327.363471	0.998803	1794.571066	1673.801932	1795.071066	374.698068	16.347699	31.530767	1386717.102717	1929.108596	718.838279	20890.148438	1961.803392	2532.413912	9.417952	9.885287	9.672308	10.098266	60.825672	0.993263	1.002222	0.001679
ogg2m001-ep02-20210522-0171-e91.fits	16	0	59357.983292	2459357.983292	2459357.987661	1.041553	44.000000	-55	NaN	180	16.352151	31.579176	NaN	NaN	1.990710	0.866817	9.614318	15	30	45	0.264747	3.125626	1.589135	4.293772	3.077320	0.713470	0.292496	0.555956	0.293357	0.000446	0.002434	0.001333	0.003279	0.002400	0.001033	0.000556	0.000836	0.000461	594.262919	1283.910347	1192.570868	1309.612582	1282.422725	690.415421	525.863679	665.378961	636.476559	4719713.334418	3429.136303	1049.371583	1048.399864	1049.871583	1000.100136	16.352005	31.577361	1249529.676928	706.858347	1896.564994	658.838311	22234.162109	1767.722886	2535.615754	3052	8.062605	9.565227	9.586738	9.543716	42.756514	0.996695	1902.490245	906.036464	1902.990245	1142.463536	16.347052	31.587653	14752060.514518	4139.936089	3563.354651	123375.578125	20869.896459	2575.424059	11.263528	10.649376	10.368157	10.930595	64.093516	0.992712	1995.199268	1228.156527	1995.699268	820.343473	16.346523	31.563744	7500260.425899	3139.732905	2388.821168	96593.632812	10610.697967	2552.182043	9.409116	10.040406	9.889946	10.190865	54.515128	0.991555	110.040969	1361.658410	110.540969	686.841590	16.357459	31.554377	20265374.421924	4760.324824	4257.141093	124555.601562	28669.640114	2596.480081	12.964448	11.787465	9.789313	13.785616	86.846705	0.890064	201.958205	1975.362517	202.458205	73.137483	16.356937	31.508865	14524069.727372	4112.233642	3531.917442	124397.164062	20547.355475	2583.642104	11.364532	10.446270	9.819215	11.073326	79.187598	0.983442	1416.495539	1505.024001	1416.995539	543.475999	16.349886	31.543406	1965236.449021	2076.291588	946.512744	29667.636719	2780.240846	2545.034290	8.740478	9.822354	9.708478	9.936231	53.503219	0.993717	1702.147165	180.536113	1702.647165	1867.963887	16.348197	31.641496	1068084.981169	1846.946335	578.297789	17926.718750	1511.031150	2543.538189	8.570661	9.765305	9.802430	9.728179	40.560836	0.997573	305.433078	97.823424	305.933078	1950.676576	16.356302	31.648015	1686391.904227	2009.173527	839.346070	35566.273438	2385.756512	2541.087420	6.844678	9.073047	9.105708	9.040385	339.901529	0.999911	1794.341676	1673.904245	1794.841676	374.595755	16.347699	31.530769	1384561.537371	1928.783127	717.842000	19716.880859	1958.753891	2538.444871	9.308818	10.078767	9.891982	10.265552	56.420000	0.990888	0.999894	0.001683
ogg2m001-ep02-20210522-0172-e91.fits	17	0	59357.985426	2459357.985426	2459357.989794	1.044353	43.600000	-55	NaN	180	16.352150	31.579187	NaN	NaN	1.994357	0.866952	9.519437	15	30	45	0.265110	3.087867	1.591440	4.269562	3.037682	0.714573	0.292383	0.555209	0.292733	0.000445	0.002405	0.001333	0.003258	0.002369	0.001034	0.000556	0.000834	0.000461	595.697139	1283.815221	1193.754490	1310.288416	1282.170821	691.105451	525.748869	665.938248	635.478115	4724853.506450	3430.063839	1049.161517	1048.583899	1049.661517	999.916101	16.352005	31.577359	1252604.936446	706.858347	1895.961905	660.669886	24669.158203	1772.073488	2536.912626	2988	8.037794	9.278176	9.475063	9.081289	4.691126	0.998151	1902.270730	906.227717	1902.770730	1142.272283	16.347053	31.587652	14589719.823449	4119.072033	3541.991911	123374.687500	20640.231362	2573.640783	11.353758	10.466841	10.254290	10.679392	73.069393	0.997610	1995.051343	1228.403489	1995.551343	820.096511	16.346523	31.563741	7519319.570905	3142.941800	2392.446329	108837.023438	10637.661141	2555.168528	9.040828	9.738008	9.722293	9.753722	47.188288	0.998211	109.844529	1361.862059	110.344529	686.637941	16.357459	31.554373	20173054.363913	4749.860245	4247.083772	124554.710938	28539.033949	2596.005732	12.956104	11.695494	9.711372	13.679616	89.621822	0.891210	201.796742	1975.599430	202.296742	72.900570	16.356936	31.508861	14352602.591734	4091.519362	3507.890669	124395.218750	20304.779100	2582.919607	11.219047	10.278414	9.699377	10.857451	88.327490	0.987342	1416.322842	1505.216870	1416.822842	543.283130	16.349886	31.543406	1969150.936093	2076.828773	948.152761	32286.974609	2785.778713	2543.945908	8.728369	9.531316	9.652679	9.409952	26.534236	0.998204	1701.910231	180.753951	1702.410231	1867.746049	16.348197	31.641489	1068931.165916	1849.415718	577.983174	20315.064453	1512.228257	2545.717508	8.394536	9.444381	9.589629	9.299133	7.623365	0.998984	305.259189	98.019836	305.759189	1950.480164	16.356302	31.648006	1686771.404441	2007.929703	840.055009	39983.730469	2386.293395	2541.475765	6.604910	8.816567	9.054361	8.578773	341.835382	0.995523	1794.223347	1674.125578	1794.723347	374.374422	16.347699	31.530769	1383118.319977	1931.050069	716.251920	22392.085938	1956.712156	2539.343604	9.339589	9.808918	9.801063	9.816774	45.896360	0.997379	1.001264	0.001681
ogg2m001-ep02-20210522-0173-e91.fits	18	0	59357.987559	2459357.987559	2459357.991927	1.047320	43.200000	-55	NaN	180	16.352150	31.579174	NaN	NaN	1.995628	0.867099	9.721994	15	30	45	0.265523	3.069370	1.591262	4.244091	3.026419	0.712041	0.292861	0.556606	0.292750	0.000444	0.002385	0.001329	0.003231	0.002354	0.001028	0.000555	0.000833	0.000459	598.346322	1286.859174	1197.090000	1313.635793	1285.485242	692.960063	528.022662	668.149067	637.655226	4738765.187174	3429.902394	1049.162318	1048.383235	1049.662318	1000.116765	16.352005	31.577360	1258252.743853	706.858347	1895.444708	663.829833	25597.689453	1780.063501	2528.541443	3017	8.310874	9.179857	9.309562	9.050151	335.497410	0.998145	1902.241561	906.077786	1902.741561	1142.422214	16.347053	31.587648	14545025.153219	4113.459466	3535.959276	123374.992188	20577.001338	2566.982250	11.443238	10.368726	10.080462	10.656990	276.652005	0.996741	1994.980326	1228.172890	1995.480326	820.327110	16.346523	31.563742	7540615.173798	3144.926472	2397.707940	119832.242188	10667.788257	2547.811684	9.289995	9.618783	9.566501	9.671065	280.364275	0.999865	109.911897	1361.715357	110.411897	686.784643	16.357459	31.554372	20111749.408335	4742.872552	4240.415315	124554.937500	28452.305178	2587.159874	12.880304	11.595866	9.548110	13.643621	271.361149	0.882424	201.834758	1975.396307	202.334758	73.103693	16.356937	31.508862	14341486.770934	4088.512761	3507.751501	124395.453125	20289.053430	2576.570107	11.448839	10.164210	9.534839	10.793582	276.916837	0.983858	1416.321936	1505.002040	1416.821936	543.497960	16.349886	31.543406	1970861.765612	2075.909108	949.396945	35349.808594	2788.199041	2537.435870	8.879650	9.361145	9.398467	9.323824	333.453731	0.999824	1701.893134	180.567015	1702.393134	1867.932985	16.348197	31.641491	1073432.263169	1848.476615	580.711844	21677.482422	1518.596007	2539.499746	8.738743	9.306145	9.370854	9.241436	325.596578	0.998520	305.275159	97.847380	305.775159	1950.652620	16.356302	31.648011	1694471.158393	2009.469086	843.243208	40727.410156	2397.186318	2535.977738	7.198224	8.741848	8.984303	8.499393	331.103038	0.989184	1794.195481	1673.930174	1794.695481	374.569826	16.347699	31.530766	1387275.765198	1930.015543	718.789945	23351.478516	1962.593737	2534.944517	9.308081	9.643329	9.557093	9.729565	83.795051	0.999665	1.002826	0.001676
ogg2m001-ep02-20210522-0174-e91.fits	19	0	59357.989691	2459357.989691	2459357.994060	1.050456	43.000000	-55	NaN	180	16.352151	31.579165	NaN	NaN	1.992494	0.867236	9.657713	15	30	45	0.264506	3.071813	1.590036	4.241550	3.013853	0.713863	0.292222	0.556029	0.292258	0.000442	0.002383	0.001326	0.003223	0.002341	0.001028	0.000554	0.000830	0.000458	597.889974	1289.233198	1198.873873	1315.950522	1287.325127	694.370928	527.937419	669.730075	637.788650	4742520.455783	3426.008584	1049.192034	1048.275124	1049.692034	1000.224876	16.352005	31.577359	1254424.843026	706.858347	1892.291974	662.912944	25469.015625	1774.648129	2527.434188	3023	8.232566	9.024450	9.215975	8.832925	337.834407	0.996482	1902.272887	905.909015	1902.772887	1142.590985	16.347053	31.587654	14568136.248147	4114.695494	3540.513817	123375.148438	20609.696849	2560.744784	11.563413	10.325679	10.071727	10.579631	280.805781	0.997204	1995.008318	1228.029200	1995.508318	820.470800	16.346523	31.563744	7540780.566213	3144.463106	2398.113863	119407.625000	10668.022239	2546.821319	9.156896	9.568240	9.526619	9.609861	297.216671	0.999776	109.987557	1361.503968	110.487557	686.996032	16.357459	31.554374	20115638.475433	4742.910780	4241.201112	124554.375000	28457.807083	2583.289168	12.634834	11.585539	9.451723	13.719355	271.313026	0.872803	201.884624	1975.159389	202.384624	73.340611	16.356937	31.508862	14293258.244900	4081.968700	3501.559981	124395.804688	20220.824023	2570.051966	11.510885	10.119611	9.473875	10.765347	276.358241	0.983022	1416.342507	1504.859485	1416.842507	543.640515	16.349886	31.543405	1975367.099238	2075.065060	951.954297	35732.812500	2794.572785	2537.153859	8.790332	9.246015	9.338981	9.153049	347.612072	0.999510	1701.921563	180.436247	1702.421563	1868.063753	16.348197	31.641499	1072468.278927	1848.273856	580.253990	21433.132812	1517.232248	2537.526239	8.575610	9.297257	9.429666	9.164849	334.004210	0.997861	305.332816	97.714192	305.832816	1950.785808	16.356303	31.648017	1694685.077617	2003.877135	845.703086	42043.187500	2397.488952	2530.503111	7.160642	8.627427	8.926500	8.328355	333.742789	0.987052	1794.174394	1673.744601	1794.674394	374.755399	16.347699	31.530768	1386040.067975	1928.788181	718.606678	23870.187500	1960.845583	2531.940723	9.294239	9.568539	9.527974	9.609104	77.503867	0.999912	0.998984	0.001671
ogg2m001-ep02-20210522-0175-e91.fits	20	0	59357.991824	2459357.991824	2459357.996192	1.053769	43.100000	-55	NaN	180	16.352150	31.579179	NaN	NaN	1.994443	0.867373	9.396516	15	30	45	0.264645	2.998263	1.584848	4.182891	2.970917	0.711926	0.293293	0.556075	0.291693	0.000441	0.002324	0.001319	0.003173	0.002305	0.001023	0.000553	0.000828	0.000457	599.919997	1290.031136	1201.277529	1318.232369	1289.089520	695.854896	530.717444	671.400478	638.691268	4759459.628227	3429.499734	1049.041207	1048.510855	1049.541207	999.989145	16.352005	31.577356	1259568.421565	706.858347	1893.255305	665.292429	29885.447266	1781.924804	2522.402998	3003	7.845122	8.696260	8.943940	8.448579	349.980042	0.996330	1902.062917	906.180739	1902.562917	1142.319261	16.347053	31.587649	14270112.880913	4078.421903	3498.930032	123374.882812	20188.080031	2558.411609	11.418450	10.131167	9.749759	10.512574	270.352671	0.994346	1994.801110	1228.292592	1995.301110	820.207408	16.346524	31.563741	7543021.167418	3144.221767	2399.010543	122963.054688	10671.192041	2542.343199	8.887919	9.209899	9.199341	9.220456	50.187635	0.999838	109.785548	1361.767776	110.285548	686.732224	16.357459	31.554369	19908299.255635	4721.557888	4216.468320	124553.718750	28164.482090	2577.224839	12.714582	11.621010	9.125015	14.117005	270.427370	0.831351	201.722118	1975.380268	202.222118	73.119732	16.356937	31.508862	14139958.280899	4062.889066	3480.271809	124394.781250	20003.948938	2563.681550	11.311105	9.989093	9.124428	10.853758	273.209535	0.970099	1416.158684	1505.073229	1416.658684	543.426771	16.349886	31.543406	1979281.456527	2077.933745	952.523853	40831.832031	2800.110467	2533.030700	8.441535	8.915899	9.021127	8.810672	0.184939	0.999443	1701.727117	180.705662	1702.227117	1867.794338	16.348197	31.641491	1079350.334424	1848.918285	583.773952	23917.167969	1526.968365	2536.454083	8.339249	8.988248	9.136509	8.839988	340.097862	0.998157	305.159371	97.925808	305.659371	1950.574192	16.356303	31.648010	1700827.837275	2006.280377	847.751818	46638.722656	2406.179179	2527.421544	6.719929	8.314764	8.625864	8.003665	336.646092	0.988125	1794.033614	1673.993206	1794.533614	374.506794	16.347699	31.530768	1388300.420489	1929.791500	719.404361	26287.416016	1964.043328	2530.411845	8.890754	9.181583	9.166941	9.196224	51.890087	0.999821	0.999510	0.001666
ogg2m001-ep02-20210522-0176-e91.fits	21	0	59357.993957	2459357.993957	2459357.998325	1.057257	43.299000	-55	NaN	180	16.352151	31.579164	NaN	NaN	1.999657	0.867510	9.299441	15	30	45	0.264525	2.998002	1.588307	4.195520	2.968822	0.712838	0.293324	0.555277	0.293552	0.000440	0.002322	0.001320	0.003179	0.002301	0.001023	0.000552	0.000827	0.000457	600.985780	1291.121147	1202.810787	1319.618439	1290.156847	696.817800	531.256091	671.599575	642.907440	4753208.763334	3421.495117	1049.249937	1048.246031	1049.749937	1000.253969	16.352005	31.577360	1257342.339479	706.858347	1886.231253	666.589708	28312.078125	1778.775542	2503.113377	3081	7.722166	8.589018	8.799348	8.378687	349.952676	0.997284	1902.356693	905.968236	1902.856693	1142.531764	16.347053	31.587648	14250127.285689	4073.871517	3497.932427	123373.625000	20159.806197	2536.594195	11.503611	10.091453	9.589241	10.593665	89.803493	0.990142	1995.070634	1228.082647	1995.570634	820.417353	16.346524	31.563741	7549554.260212	3140.556036	2403.890959	121990.054688	10680.434477	2521.611383	8.739188	9.078118	9.031496	9.124739	60.992281	0.999624	109.976441	1361.543992	110.476441	686.956008	16.357459	31.554371	19942183.366039	4723.389594	4222.006881	124553.320312	28212.418300	2555.809748	12.413602	11.655143	8.977390	14.332896	270.365312	0.809473	201.923259	1975.201460	202.423259	73.298540	16.356937	31.508863	14111428.511885	4056.299575	3478.892091	124394.648438	19963.587571	2546.898427	11.406445	9.962795	8.991692	10.933899	273.639079	0.962100	1416.413020	1504.865517	1416.913020	543.634483	16.349886	31.543407	1978159.927244	2071.422464	954.976573	37421.316406	2798.523828	2510.699721	8.434723	8.809861	8.894082	8.725640	13.506238	0.999540	1701.955654	180.434271	1702.455654	1868.065729	16.348198	31.641493	1078021.399416	1844.778417	584.363623	23719.189453	1525.088306	2515.888904	8.004406	8.833788	8.931017	8.736558	336.741709	0.998977	305.361628	97.707096	305.861628	1950.792904	16.356303	31.648010	1697027.436674	2003.155112	847.177249	44607.554688	2400.802712	2505.263454	6.640260	8.154384	8.417172	7.891595	334.827801	0.989821	1794.273639	1673.800732	1794.773639	374.699268	16.347699	31.530767	1395315.876578	1923.928310	725.243175	24388.824219	1973.968168	2509.303886	8.830570	9.192753	9.136940	9.248566	57.027063	0.999113	0.999056	0.001662
ogg2m001-ep02-20210522-0177-e91.fits	22	0	59357.996089	2459357.996089	2459358.000458	1.060916	43.700000	-55	NaN	180	16.352151	31.579152	NaN	NaN	1.994095	0.867660	9.409727	15	30	45	0.265091	3.015277	1.593908	4.207056	2.975670	0.714398	0.292560	0.555098	0.293778	0.000441	0.002335	0.001325	0.003188	0.002307	0.001026	0.000551	0.000826	0.000457	601.074965	1291.431887	1202.948098	1319.596694	1290.089783	696.572455	530.936829	671.741144	642.163190	4739529.002218	3411.974067	1049.252957	1048.061608	1049.752957	1000.438392	16.352005	31.577362	1256404.254100	706.858347	1884.438425	666.726085	28020.125000	1777.448423	2480.845169	2962	7.876943	8.709072	8.904117	8.514027	336.121719	0.995565	1902.313922	905.780041	1902.813922	1142.719959	16.347053	31.587649	14290991.509731	4075.852358	3506.258386	123374.406250	20217.617249	2514.471885	11.443327	10.133599	9.720263	10.546934	278.257271	0.992784	1995.047323	1227.835111	1995.547323	820.664889	16.346523	31.563744	7554374.996998	3140.228607	2405.676765	121952.421875	10687.254424	2498.553404	8.791969	9.164932	9.153619	9.176246	310.342642	0.999767	110.042617	1361.274091	110.542617	687.225909	16.357459	31.554380	19939462.326867	4719.371774	4225.024703	124553.742188	28208.568817	2537.064726	12.686621	11.618953	9.116177	14.121730	271.372768	0.830108	201.958719	1974.987442	202.458719	73.512558	16.356937	31.508863	14103274.559865	4053.058387	3479.662323	124395.695312	19952.052089	2524.421326	11.435752	9.999431	9.114333	10.884528	276.778859	0.967352	1416.344904	1504.638578	1416.844904	543.861422	16.349886	31.543408	1974984.163399	2069.697023	954.238298	37425.410156	2794.031041	2489.456374	8.541993	8.922239	9.034877	8.809601	337.098633	0.998689	1701.938340	180.231087	1702.438340	1868.268913	16.348197	31.641500	1072753.215102	1837.068644	583.948356	22686.958984	1517.635350	2493.789985	8.339109	8.876660	8.999331	8.753988	329.696013	0.996830	305.383156	97.481913	305.883156	1951.018087	16.356303	31.648022	1691791.623717	1995.770543	847.688443	44420.921875	2393.395552	2484.913378	6.648973	8.293108	8.584504	8.001712	331.874926	0.984040	1794.229515	1673.581864	1794.729515	374.918136	16.347699	31.530766	1392370.956371	1922.648826	724.194110	25096.447266	1969.801958	2487.298501	8.922857	9.210216	9.206048	9.214383	313.765187	0.999559	1.001192	0.001666
