 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	JD_MOBS	HJD_MOBS	BJD_MOBS	ALT_OBJ	AIRMASS	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_T2	rel_flux_C3	rel_flux_err_T1	rel_flux_err_T2	rel_flux_err_C3	rel_flux_SNR_T1	rel_flux_SNR_T2	rel_flux_SNR_C3	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	Variance_T1	X(IJ)_T2	Y(IJ)_T2	X(FITS)_T2	Y(FITS)_T2	RA_T2	DEC_T2	Source-Sky_T2	Source_Error_T2	Source_SNR_T2	Peak_T2	Mean_T2	Sky/Pixel_T2	FWHM_T2	Width_T2	X-Width_T2	Y-Width_T2	Angle_T2	Roundness_T2	Variance_T2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	Variance_C3	BJD_TDB
1	ogg2m001-ep05-20210522-0155-e91.fits.fz	1.000000	0.000000	59357.950647	2459357.950647	NaN	NaN	NaN	NaN	NaN	1.018455	9.061981	16.000000	60.000000	90.000000	0.932432	1.146216	0.000000	0.001348	0.001556	0.000000	691.585088	736.807520	0.000000	1450562.780138	1450.047990	1049.062028	1037.942378	1049.562028	1010.557622	16.351998	31.577631	1352551.339255	804.247719	1413.070973	957.171554	25440.689453	1681.759621	750.787781	9228.000000	9.029591	9.602623	9.485500	9.719745	58.916943	0.997271	11964898.340551	20.591789	1061.578113	21.091789	986.921887	16.357994	31.576897	1662657.552205	1526.315377	1089.327656	40730.476562	2067.345063	744.135420	7.370377	11.350724	11.130282	11.571166	72.954379	0.997802	24821300.676757	1991.381864	1209.334000	1991.881864	839.166000	16.346521	31.563870	1450562.780138	1450.047990	1000.355016	22216.859375	1803.626849	745.708922	10.785975	11.983512	11.983272	11.983751	45.033445	0.998826	10395439.288521	2459357.954998
2	ogg2m001-ep05-20210522-0156-e91.fits.fz	2.000000	0.000000	59357.951460	2459357.951460	NaN	NaN	NaN	NaN	NaN	1.018596	11.887863	16.000000	60.000000	90.000000	0.930511	1.145141	0.000000	0.001348	0.001556	0.000000	690.351025	735.877415	0.000000	1450068.072293	1450.846369	1049.113184	1037.759241	1049.613184	1010.740759	16.351999	31.577630	1349304.094577	804.247719	1413.353289	954.682813	22567.023438	1677.722003	755.846005	9298.000000	8.884790	9.609226	9.449574	9.768878	76.492214	0.998610	11655066.186213	20.581871	1061.453255	21.081871	987.046745	16.357995	31.576890	1660532.205411	1526.963173	1087.473644	36016.542969	2064.702411	748.538663	7.037117	11.470769	11.212435	11.729103	85.189238	0.997915	23785636.117894	1991.405650	1209.202129	1991.905650	839.297871	16.346522	31.563869	1450068.072293	1450.846369	999.463557	19223.066406	1803.011731	749.375922	10.679700	11.937872	11.844416	12.031327	60.313767	0.999056	10117944.140720	2459357.955811
3	ogg2m001-ep05-20210522-0157-e91.fits.fz	3.000000	0.000000	59357.952274	2459357.952274	NaN	NaN	NaN	NaN	NaN	1.018758	12.893873	16.000000	60.000000	90.000000	0.932410	1.144523	0.000000	0.001351	0.001557	0.000000	690.140101	735.230504	0.000000	1451266.659776	1453.324555	1048.873761	1037.970990	1049.373761	1010.529010	16.351999	31.577634	1353176.151738	804.247719	1417.098100	954.892362	26357.816406	1682.536511	763.140648	9316.000000	8.929925	9.554513	9.491562	9.617464	281.500352	0.999795	12277436.049468	20.408482	1061.677238	20.908482	986.822762	16.357995	31.576889	1661007.800994	1528.742768	1086.518828	39197.207031	2065.293766	755.036058	7.229517	11.408744	11.208622	11.608866	89.496172	0.998770	24777085.099790	1991.169608	1209.450161	1991.669608	839.049839	16.346522	31.563873	1451266.659776	1453.324555	998.584008	21432.621094	1804.502052	756.357009	10.634313	11.854886	11.911934	11.797838	24.541003	0.999784	10730084.362224	2459357.956625
4	ogg2m001-ep05-20210522-0158-e91.fits.fz	4.000000	0.000000	59357.953087	2459357.953087	NaN	NaN	NaN	NaN	NaN	1.018942	13.071772	16.000000	60.000000	90.000000	0.930673	1.145087	0.000000	0.001352	0.001560	0.000000	688.203544	733.796997	0.000000	1451661.881762	1457.318436	1048.639152	1037.810943	1049.139152	1010.689057	16.351999	31.577636	1351023.190921	804.247719	1419.262931	951.918888	28808.458984	1679.859524	773.629535	9277.000000	8.818607	9.481498	9.441864	9.521131	282.072951	0.999916	12822681.737360	20.223322	1061.435222	20.723322	987.064778	16.357995	31.576904	1662279.639649	1531.956909	1085.069450	42346.417969	2066.875168	766.445909	7.070899	11.393194	11.259051	11.527338	89.854632	0.999446	25802457.890273	1990.925446	1209.197508	1991.425446	839.302492	16.346522	31.563874	1451661.881762	1457.318436	996.118519	26446.099609	1804.993470	768.953259	10.431937	11.836665	11.870532	11.802797	32.353250	0.999821	11447611.797799	2459357.957438
5	ogg2m001-ep05-20210522-0159-e91.fits.fz	5.000000	0.000000	59357.953945	2459357.953945	NaN	NaN	NaN	NaN	NaN	1.019160	13.315875	16.000000	60.000000	90.000000	0.934639	1.147613	0.000000	0.001359	0.001566	0.000000	687.814202	732.652138	0.000000	1446062.114929	1454.700563	1048.545130	1037.854905	1049.045130	1010.645095	16.351999	31.577631	1351545.538806	804.247719	1418.663684	952.689178	29393.748047	1680.509010	770.969912	9613.000000	8.862965	9.610943	9.544038	9.677847	281.381521	0.999772	12398203.497180	20.087830	1061.489246	20.587830	987.010754	16.357995	31.576893	1659520.126713	1530.883991	1084.027357	43486.000000	2063.443995	764.698842	7.480956	11.494478	11.351682	11.637274	272.133266	0.999379	24725503.063830	1990.903870	1209.232558	1991.403870	839.267442	16.346522	31.563875	1446062.114929	1454.700563	994.061700	24753.087891	1798.030731	768.781841	10.531934	11.965156	12.000846	11.929466	6.315245	0.999963	10923115.261861	2459357.958295
6	ogg2m001-ep05-20210522-0160-e91.fits.fz	6.000000	0.000000	59357.954758	2459357.954758	NaN	NaN	NaN	NaN	NaN	1.019389	13.157349	16.000000	60.000000	90.000000	0.934001	1.145920	0.000000	0.001355	0.001562	0.000000	689.064123	733.469809	0.000000	1447482.976086	1453.925000	1048.511323	1037.697725	1049.011323	1010.802275	16.351999	31.577634	1351951.245163	804.247719	1416.124630	954.683802	25889.240234	1681.013465	761.773760	9247.000000	8.688701	9.610467	9.522941	9.697993	287.460605	0.999507	12406668.500766	20.123385	1061.354609	20.623385	987.145391	16.357995	31.576892	1658699.105959	1529.147319	1084.721587	38400.753906	2062.423139	759.061683	6.947239	11.543066	11.415406	11.670726	277.237149	0.999478	24300094.223093	1990.820478	1209.190286	1991.320478	839.309714	16.346522	31.563872	1447482.976086	1453.925000	995.569219	22506.697266	1799.797427	762.233752	10.520233	11.915121	11.942070	11.888172	337.366613	0.999959	10889030.249985	2459357.959109
7	ogg2m001-ep05-20210522-0161-e91.fits.fz	7.000000	0.000000	59357.955572	2459357.955572	NaN	NaN	NaN	NaN	NaN	1.019639	12.990554	16.000000	60.000000	90.000000	0.929826	1.142538	0.000000	0.001347	0.001554	0.000000	690.294735	735.079050	0.000000	1452000.245096	1453.695527	1048.550965	1037.893070	1049.050965	1010.606930	16.351999	31.577629	1350107.129804	804.247719	1413.601097	955.083533	26893.699219	1678.720495	755.637217	9188.000000	8.669663	9.600742	9.487025	9.714459	78.533627	0.999339	12211711.293536	20.094423	1061.571211	20.594423	986.928789	16.357994	31.576889	1658965.148439	1528.001464	1085.709136	41977.503906	2062.753936	755.012884	6.890250	11.546217	11.400685	11.691748	83.793545	0.999334	24540000.367213	1990.885725	1209.296239	1991.385725	839.203761	16.346522	31.563873	1452000.245096	1453.695527	998.833813	23943.078125	1805.414190	755.914735	10.254399	11.865539	11.851082	11.879996	49.446907	0.999752	10988180.250445	2459357.959923
8	ogg2m001-ep05-20210522-0162-e91.fits.fz	8.000000	0.000000	59357.956385	2459357.956385	NaN	NaN	NaN	NaN	NaN	1.019912	13.132044	16.000000	60.000000	90.000000	0.932103	1.146151	0.000000	0.001351	0.001560	0.000000	689.978533	734.799355	0.000000	1448575.531698	1452.065095	1048.479921	1037.816104	1048.979921	1010.683896	16.351999	31.577629	1350221.648327	804.247719	1413.357724	955.329019	24059.832031	1678.862888	754.487020	9325.000000	8.852692	9.653289	9.654320	9.652258	315.440389	0.999807	11694923.613373	20.069675	1061.505466	20.569675	986.994534	16.357994	31.576887	1660286.679317	1528.246674	1086.399668	38447.285156	2064.397125	754.352188	6.977313	11.538281	11.436713	11.639848	275.500912	0.999678	23939184.419114	1990.839148	1209.197871	1991.339148	839.302129	16.346522	31.563874	1448575.531698	1452.065095	997.596827	20128.347656	1801.155909	755.306879	10.575575	11.966280	12.042786	11.889775	5.048956	0.999831	10116439.971218	2459357.960736
9	ogg2m001-ep05-20210522-0163-e91.fits.fz	9.000000	0.000000	59357.957198	2459357.957198	NaN	NaN	NaN	NaN	NaN	1.020206	13.319059	16.000000	60.000000	90.000000	0.933488	1.143922	0.000000	0.001352	0.001558	0.000000	690.487219	734.401677	0.000000	1450648.422229	1453.617971	1048.370136	1037.833750	1048.870136	1010.666250	16.351999	31.577625	1354163.081826	804.247719	1415.950683	956.363169	22108.228516	1683.763658	759.073994	9396.000000	8.971044	9.785305	9.707840	9.862770	280.139365	0.999715	11039148.169317	19.895322	1061.469167	20.395322	987.030833	16.357994	31.576895	1659428.062598	1529.916802	1084.652486	33212.820312	2063.329522	758.588573	7.134714	11.610919	11.448775	11.773063	275.702732	0.999189	22205132.488292	1990.700713	1209.243641	1991.200713	839.256359	16.346522	31.563861	1450648.422229	1453.617971	997.957133	19365.867188	1803.733337	758.554211	10.719374	11.963794	11.946884	11.980704	51.618489	0.999848	9757695.165135	2459357.961549
10	ogg2m001-ep05-20210522-0164-e91.fits.fz	10.000000	0.000000	59357.958011	2459357.958011	NaN	NaN	NaN	NaN	NaN	1.020521	13.360374	16.000000	60.000000	90.000000	0.932421	1.146921	0.000000	0.001355	0.001565	0.000000	688.179045	733.013295	0.000000	1449833.940560	1457.272333	1048.480748	1038.148910	1048.980748	1010.351090	16.351999	31.577626	1351855.888654	804.247719	1418.638594	952.924793	24333.851562	1680.894899	770.548388	9178.000000	8.887481	9.587308	9.470020	9.704596	65.023516	0.998554	11855787.959194	20.007570	1061.804154	20.507570	986.695846	16.357995	31.576887	1662845.542741	1533.825963	1084.116179	36965.078125	2067.578810	768.513712	7.265688	11.573623	11.376651	11.770595	83.527443	0.998781	23458674.881591	1990.758077	1209.513983	1991.258077	838.986017	16.346522	31.563872	1449833.940560	1457.272333	994.895674	20465.449219	1802.720612	770.228178	10.608893	11.885884	11.865096	11.906672	48.528205	0.999189	10435118.118815	2459357.962362
